;R3a;145.687,5;-600 kHz;110.9;1 liguria;GE;Tigullio (GE);;;;;JN44SG;137;169;003;;radio club tigullio;;;;;;;;;;
;R4;145.700,0;-600 kHz;110.9;1 liguria;GE;M.Figogna (GE);;IR1W;;;JN44KK;119;193;003;;ari genova;;;;;;;;;;
;R4;145.700,0;-600 kHz;162.2;1 liguria;IM;Sanremo (IM);;;;;JN33UT;220;213;003;;iz1ndz;;;;;;;;;;
;R4a;145.712,5;-600 kHz;110.9;1 liguria;SP;M.Verrugoli (SP);C4FM;IR1CB;;WIRES-X;JN44VC;160;163;003;;ari la spezia ik1wvr;;;;;;;;;;
;R5;145.725,0;-600 kHz;110.9;1 liguria;GE;M.Fasce (GE);;IR1T;; ;JN44MJ;121;186;003;;ari genova;;;;;;;;;;
;R5a;145.737,5;-600 kHz;110.9;1 liguria;IM;Bardellini - Imperia;C4FM;IR1UGT;;WIRES-X;JN34VB;193;216;003;;era imperia;;;;;;;;;;
;R5a;145.737,5;-600 kHz;162.2;1 liguria;SV;Pizzo d'Evigno - Stellanello;;IR1UGS;;;JN44AA;186;210;003;;era imperia iz1myt;;;;;;;;;;
;R6;145.750,0;-600 kHz;110.9;1 liguria;GE;Rapallo (GE); ;IR1ED;;;JN44OI;125;180;003;;ari rapallo;;;;;;;;;;
;R6a;145.762,5;-600 kHz;110.9/162.2 loc;1 liguria;SV;M.Tirasso - Alassio (SV) (SV);;;;Riviera ponente;JN44BA;183;208;003;;ari alassio - albenga - diano marina;;;;;;;;;;
;R7;145.775,0;-600 kHz;162.2;1 liguria; IM;Dolcedo (IM);;IR1CX;;;JN33WV;205;211;003;;era imperia  iz1myt ;;;;;;;;;;
;R7;145.775,0;-600 kHz;110.9;1 liguria;IM;Imperia;;IR1CX;;;JN43AV;199;208;003;;era imperia;;;;;;;;;;
;R7;145.775,0;-600 kHz;162.2;1 liguria;SV;Bergeggi (SV);C4FM;IR1V;;;JN44FG;147;204;003;;ari savona iw1pv;;;;;;;;;;
;R7a;145.787,5;-600 kHz; ;1 liguria;IM;Perinaldo (IM);;;;;JN33TU;220;215;003;;ari bordighera;;;;;;;;;;
;R7a;145.787,5;-600 kHz;110.9/162.2 loc;1 liguria;SV;Finale Ligure (SV);;;;Riviera Ponente;JN44EE;158;205;003;;ari loano;;;;;;;;;;
;RU0a;430.012,5;+5.0 MHz;;1 liguria;GE;Cogorno (GE);;;;;JN44QH;130;174;003;;ik1ykt;;;;;;;;;;
;RU1;430.025,0;+1.6 MHz;110.9;1 liguria;IM;M.Faudo (IM);EL;;369040;Faudo;JN33WV;205;211;003;;ari imperia ;;;;;;;;;;
;RU1;430.025,0;+1.6 MHz; ;1 liguria;SV;Cosseria (SV);;;;;JN44CI;148;213;003;;ari val bormida;;;;;;;;;;
;RU1a;430.037,5;+5.0MHz;110.9;1 liguria;SV;M.Beigua (SV);EL;;;italynet;JN44GK;127;205;003;;iw1ggq;;;;;;;;;;
;RU2;430.050,0;+5.0MHz;110.9;1 liguria;GE;M.Roveto - Busalla (GE);;;;;JN44LO;99;192;003;;tlc vallescrivia;;;;;;;;;;
;RU2;430.050,0;+1.6 MHz;110.9;1 liguria;IM;M.Bignone (IM);DMR;IR1UB;222113;D2ALP;JN33UU;216;214;003;;ari sanremo ik1mvx;;;;;;;;;;
;RU2a;430.062,5;+5.0 MHz;110.9;1 liguria;IM;Montegrosso Pian Latte (IM);;;;;JN34VB;193;216;003;;ari imperia;;;;;;;;;;
;RU3;430.075,0;+1.6 MHz;110.9/162.2 loc;1 liguria;SV;Spotorno (SV);;;;Riviera Ponente;JN44EE;158;205;003;;ari loano;;;;;;;;;;
;RU3a;430.087,5;+1.6 MHz;110.9;1 liguria;SP;San Nicolao (SP); ;IR1UBT;;Spezzino;JN44SG;137;169;003;;ari la spezia ik1wvr;;;;;;;;;;
;RU4;430.100,0;+1.6 MHz;110.9;1 liguria;GE;Rapallo (GE);C4FM;IR1UR;;;JN44OI;125;180;003;;ari rapallo;;;;;;;;;;
;RU5;430.125,0;+1.6 MHz;110.9 ;1 liguria;GE;M.Fasce (GE); ;IR1UT; ;;JN44NJ;121;183;003;;ari genova;;;;;;;;;;
